"CollectionsMercadoPago","CollectionsPayPal","CollectionsBankTransfers","CollectionsBankTransfersB2B","Accountspayable(PROS","Accountspayable(PROSB2B","Accountspayable","Salaries","Socialsecurityandtaxes","Rent","Feesandaccruedexpenses","GA,traveling,othersalescosts","Inventory","MktEmailmkt","V15","Fundsavailable","Transfers","Closingbalance","date"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11851.08,NA,11851.08,2020-01-01
NA,NA,NA,NA,-9560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2291.07,NA,2291.07,2020-01-02
NA,NA,19369,NA,-26023,NA,NA,-85733,-721,NA,NA,NA,NA,NA,NA,-90817.11,405691,314873.89,2020-01-03
NA,NA,450,NA,-52171,NA,-918,-2125,NA,NA,NA,NA,NA,NA,NA,260110.87,NA,260110.87,2020-01-04
NA,1500,200,NA,-18600,NA,-1406,NA,NA,NA,-51,NA,NA,NA,NA,241753.27,NA,241753.27,2020-01-05
NA,NA,3046,NA,-2315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242484.23,NA,242484.23,2020-01-06
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242484.23,NA,242484.23,2020-01-07
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242484.23,NA,242484.23,2020-01-08
NA,NA,NA,NA,-12575,NA,NA,NA,NA,-23751,NA,NA,NA,NA,NA,206158.73,NA,206158.73,2020-01-09
68000,NA,1197,NA,-15521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259834.73,NA,259834.73,2020-01-10
NA,NA,-199,NA,-65409,NA,NA,-86473,NA,NA,NA,NA,NA,NA,NA,107754.33,NA,107754.33,2020-01-11
NA,NA,20111,NA,-15671,NA,-71,NA,NA,NA,NA,NA,NA,NA,NA,112123.03,NA,112123.03,2020-01-12
NA,NA,11220,NA,-3930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119413.04,NA,119413.04,2020-01-13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119413.04,NA,119413.04,2020-01-14
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119413.04,NA,119413.04,2020-01-15
NA,NA,450,NA,-44183,NA,-5518,NA,NA,NA,NA,NA,NA,NA,NA,70162.82,NA,70162.82,2020-01-16
15000,NA,NA,NA,-4504,NA,NA,NA,NA,NA,-12296,NA,NA,NA,NA,68363.32,NA,68363.32,2020-01-17
NA,NA,NA,NA,-61279,NA,-173,NA,NA,NA,NA,NA,NA,NA,NA,6911.15,NA,6911.15,2020-01-18
NA,NA,10511,NA,-3931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13491.15,NA,13491.15,2020-01-19
NA,17500,17262,NA,-10887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37365.96,NA,37365.96,2020-01-20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37365.96,NA,37365.96,2020-01-21
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37365.96,NA,37365.96,2020-01-22
NA,NA,-303,NA,-3366,NA,-1800,NA,NA,NA,NA,NA,NA,NA,NA,31897.3,NA,31897.3,2020-01-23
NA,NA,6844,NA,-5875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32866.3,NA,32866.3,2020-01-24
NA,NA,16983,NA,-41460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8389.62,NA,8389.62,2020-01-25
NA,45000,99,NA,-5104,NA,-285,NA,NA,NA,NA,NA,NA,NA,NA,48099.14,NA,48099.14,2020-01-26
NA,NA,3322,NA,-4465,NA,-159,NA,NA,NA,NA,NA,NA,NA,NA,46797.42,NA,46797.42,2020-01-27
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46797.42,NA,46797.42,2020-01-28
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46797.42,NA,46797.42,2020-01-29
NA,NA,45626,NA,-15568,NA,-3622,NA,NA,NA,NA,NA,NA,NA,NA,73233.83,NA,73233.83,2020-01-30
NA,NA,11216,NA,-22037,NA,-302,-86191,-722,NA,NA,NA,NA,NA,NA,-24802.95,343411.05,318608.1,2020-01-31
NA,NA,5834,NA,-82532,NA,NA,NA,NA,NA,NA,NA,NA,-6000,NA,235909.62,NA,235909.62,2020-02-01
NA,NA,73327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309236.62,NA,309236.62,2020-02-02
NA,NA,40145,NA,-90431,NA,NA,-200,NA,NA,NA,NA,NA,NA,NA,258750.28,NA,258750.28,2020-02-03
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258750.28,NA,258750.28,2020-02-04
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258750.28,NA,258750.28,2020-02-05
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258750.28,NA,258750.28,2020-02-06
25000,NA,19784,NA,NA,NA,-451,NA,-568,NA,NA,NA,NA,NA,NA,302515.71,NA,302515.71,2020-02-07
NA,NA,2948,NA,-78567,NA,-297,NA,NA,NA,-6960,NA,NA,-3976,NA,215662.94,NA,215662.94,2020-02-08
NA,5000,199,NA,-13731,NA,-954,NA,NA,NA,NA,NA,NA,NA,NA,206176.96,NA,206176.96,2020-02-09
NA,NA,299,NA,-8937,NA,-90,-104670,NA,NA,NA,NA,NA,NA,NA,92779.2,NA,92779.2,2020-02-10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92779.2,NA,92779.2,2020-02-11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92779.2,NA,92779.2,2020-02-12
NA,NA,2613,NA,-4116,NA,-125,NA,NA,-23751,NA,NA,NA,NA,NA,67400.39,NA,67400.39,2020-02-13
NA,NA,17646,NA,-22280,NA,NA,NA,-371,NA,NA,NA,NA,NA,NA,62395.2,NA,62395.2,2020-02-14
30000,NA,-9297,NA,-24354,NA,NA,NA,NA,NA,-12910,NA,NA,-1288,NA,44545.98,NA,44545.98,2020-02-15
NA,NA,6190,NA,-5103,NA,-3799,NA,NA,NA,NA,NA,NA,NA,NA,41834.87,NA,41834.87,2020-02-16
NA,40000,1388,NA,NA,NA,-3098,NA,NA,NA,NA,NA,NA,NA,NA,80124.76,NA,80124.76,2020-02-17
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80124.76,NA,80124.76,2020-02-18
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80124.76,NA,80124.76,2020-02-19
NA,NA,4871,NA,-3902,NA,-386,NA,NA,NA,NA,NA,NA,NA,NA,80707.46,NA,80707.46,2020-02-20
NA,NA,649,NA,-3379,NA,-3401,NA,NA,NA,NA,NA,NA,NA,NA,74575.85,NA,74575.85,2020-02-21
NA,NA,39267,NA,-42084,NA,-266,NA,NA,NA,NA,NA,NA,NA,NA,71492.99,NA,71492.99,2020-02-22
NA,NA,9338,NA,-2709,NA,NA,NA,NA,NA,-429,NA,NA,-1288,NA,76405.19,NA,76405.19,2020-02-23
NA,NA,-9277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67127.97,NA,67127.97,2020-02-24
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67127.97,NA,67127.97,2020-02-25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67127.97,NA,67127.97,2020-02-26
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67127.97,NA,67127.97,2020-02-27
NA,NA,22424,NA,-7618,NA,-402,NA,NA,NA,NA,NA,NA,NA,NA,81532.49,NA,81532.49,2020-02-28
NA,NA,22616,NA,-76434,NA,-3161,NA,NA,NA,NA,NA,NA,NA,NA,24554.48,NA,24554.48,2020-03-01
2500,NA,40467,NA,-30903,NA,NA,-113610,-96,NA,-597,-224,NA,NA,NA,-77906.94,290005.5,212098.56,2020-03-02
NA,NA,2314,NA,NA,NA,NA,NA,NA,-23751,NA,NA,NA,NA,NA,190661.56,NA,190661.56,2020-03-03
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190661.56,NA,190661.56,2020-03-04
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190661.56,NA,190661.56,2020-03-05
NA,14000,NA,NA,-4030,NA,-1152,NA,NA,NA,NA,-8,NA,NA,NA,199471.56,NA,199471.56,2020-03-06
30000,NA,3685,NA,-16419,NA,NA,NA,NA,NA,NA,-2283,NA,NA,NA,214454.23,NA,214454.23,2020-03-07
NA,NA,45227,NA,-43301,NA,NA,-50,NA,NA,NA,-1093,NA,NA,NA,215236.87,NA,215236.87,2020-03-08
NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,-310,NA,NA,NA,219926.5,NA,219926.5,2020-03-09
NA,NA,19674,NA,-11736,NA,NA,-116382,NA,NA,NA,-1408,NA,NA,NA,110075.31,NA,110075.31,2020-03-10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110075.31,NA,110075.31,2020-03-11
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110075.31,NA,110075.31,2020-03-12
NA,NA,398,NA,NA,NA,-5400,NA,NA,NA,NA,-433,NA,NA,NA,104640.65,NA,104640.65,2020-03-13
28500,NA,299,NA,NA,NA,NA,NA,NA,NA,-6960,-288,NA,NA,NA,126191.8,NA,126191.8,2020-03-14
NA,NA,299,NA,-91195,NA,NA,-178,NA,NA,NA,NA,NA,NA,NA,35117.68,NA,35117.68,2020-03-15
NA,3500,67794,NA,-7225,NA,NA,NA,NA,NA,NA,-880,NA,NA,NA,98306.3,NA,98306.3,2020-03-16
NA,NA,7251,NA,-7505,NA,NA,NA,NA,NA,NA,-74,NA,NA,NA,97977.78,NA,97977.78,2020-03-17
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97977.78,NA,97977.78,2020-03-18
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97977.78,NA,97977.78,2020-03-19
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97977.78,NA,97977.78,2020-03-20
90000,NA,9851,NA,-3440,NA,NA,-518,NA,NA,NA,-391,NA,NA,NA,193480.21,NA,193480.21,2020-03-21
NA,NA,2837,NA,-26071,NA,NA,-596,NA,NA,NA,NA,NA,NA,NA,169650.12,NA,169650.12,2020-03-22
NA,NA,105863,NA,-5828,NA,-3786,NA,NA,NA,NA,NA,NA,NA,NA,265899.19,NA,265899.19,2020-03-23
NA,NA,5447,NA,-5206,NA,NA,NA,NA,NA,NA,-173,NA,NA,NA,265967.36,NA,265967.36,2020-03-24
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265967.36,NA,265967.36,2020-03-25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265967.36,NA,265967.36,2020-03-26
NA,NA,NA,NA,-5021,NA,NA,NA,-5000,NA,NA,-41,NA,NA,NA,255905.58,NA,255905.58,2020-03-27
12000,NA,1597,NA,NA,NA,NA,NA,-5000,NA,NA,NA,NA,NA,NA,264502.38,NA,264502.38,2020-03-28
NA,NA,6237,NA,-34646,NA,-1725,-324,NA,NA,NA,NA,NA,NA,NA,234043.82,NA,234043.82,2020-03-29
NA,NA,3268,NA,-12728,NA,NA,-109140,NA,NA,NA,-4400,NA,NA,NA,111044.46,NA,111044.46,2020-03-30
NA,NA,NA,NA,-15762,NA,-996,NA,NA,NA,NA,NA,NA,NA,NA,94286.96,NA,94286.96,2020-03-31
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94286.96,NA,94286.96,2020-04-01
NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94736.96,NA,94736.96,2020-04-02
NA,NA,4889,NA,-12156,NA,-949,NA,NA,NA,-16970,-862,NA,NA,NA,68688.67,NA,68688.67,2020-04-03
22000,NA,NA,NA,-1462,NA,NA,NA,NA,NA,-6960,-105,NA,NA,NA,82162.35,NA,82162.35,2020-04-04
NA,22000,1734,NA,-58554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47341.91,NA,47341.91,2020-04-05
NA,NA,7119,NA,-8312,NA,-1502,NA,-113,NA,NA,-265,NA,NA,NA,44269.05,NA,44269.05,2020-04-06
NA,NA,14419,NA,-2515,NA,NA,-110393,-653,-23751,NA,-443,NA,NA,NA,-79066.43,1243994.1,1164927.67,2020-04-07
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164927.67,NA,1164927.67,2020-04-08
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1164927.67,NA,1164927.67,2020-04-09
NA,NA,399,NA,-6257,NA,NA,NA,NA,NA,NA,-1203,NA,NA,NA,1157866.53,NA,1157866.53,2020-04-10
36000,NA,1018,NA,-2366,NA,NA,NA,NA,NA,NA,-240,NA,NA,NA,1192278.48,NA,1192278.48,2020-04-11
NA,24000,42676,NA,-128300,NA,NA,NA,NA,NA,NA,-330,NA,NA,NA,1130324,NA,1130324,2020-04-12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130324,NA,1130324,2020-04-13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130324,NA,1130324,2020-04-14
NA,NA,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130623,NA,1130623,2020-04-15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1130623,NA,1130623,2020-04-16
NA,NA,6185,NA,-1525,NA,-3000,-3715,NA,NA,-475312,NA,NA,NA,NA,653255.6,NA,653255.6,2020-04-17
16000,NA,5539,NA,-13384,NA,-500,NA,NA,NA,NA,-185,NA,NA,NA,660725.53,NA,660725.53,2020-04-18
NA,NA,4317,NA,-35639,NA,NA,NA,NA,NA,NA,NA,NA,-8500,NA,620903.63,NA,620903.63,2020-04-19
NA,NA,18374,NA,NA,NA,-673,NA,NA,NA,-130500,-80,NA,NA,NA,508024.29,NA,508024.29,2020-04-20
NA,NA,992,NA,-7083,NA,NA,NA,NA,NA,NA,-489,NA,NA,NA,501445.13,NA,501445.13,2020-04-21
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501445.13,NA,501445.13,2020-04-22
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501445.13,NA,501445.13,2020-04-23
NA,NA,447,NA,-2313,NA,NA,NA,NA,NA,NA,-45,NA,NA,NA,499534.72,NA,499534.72,2020-04-24
NA,NA,199,NA,-7975,NA,NA,NA,NA,NA,NA,-47,NA,-6116,NA,485595.77,NA,485595.77,2020-04-25
8000,15000,4244,NA,-123342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389497.76,NA,389497.76,2020-04-26
NA,NA,12813,NA,NA,NA,NA,NA,NA,NA,NA,-41,NA,NA,NA,402269.35,NA,402269.35,2020-04-27
NA,NA,NA,NA,NA,NA,-3000,-111027,NA,NA,NA,-86,NA,-2002,NA,286153.85,NA,286153.85,2020-04-28
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286153.85,NA,286153.85,2020-04-29
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286153.85,NA,286153.85,2020-04-30
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286153.85,NA,286153.85,2020-05-01
NA,NA,3504,NA,-10657,NA,NA,NA,-17,NA,NA,-7049,NA,NA,NA,271934.93,NA,271934.93,2020-05-02
15000,19000,9174,NA,-24400,NA,NA,NA,NA,NA,NA,NA,NA,-2958,NA,287750.59,NA,287750.59,2020-05-03
NA,NA,15879,NA,-16326,NA,NA,-807,NA,NA,NA,-974,NA,NA,NA,285523.17,NA,285523.17,2020-05-04
NA,NA,7494,NA,-41592,NA,NA,NA,-1413,NA,NA,NA,NA,NA,NA,250012.32,414375.75,664388.07,2020-05-05
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664388.07,NA,664388.07,2020-05-06
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664388.07,NA,664388.07,2020-05-07
NA,NA,595,NA,-10760,NA,-11420,NA,NA,NA,NA,NA,NA,NA,NA,642802.67,NA,642802.67,2020-05-08
50000,15000,10151,NA,-20025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,697928.45,NA,697928.45,2020-05-09
NA,NA,19274,NA,-30333,NA,NA,NA,NA,NA,-6960,NA,NA,-13723,NA,666186.36,NA,666186.36,2020-05-10
NA,NA,1497,NA,-3992,NA,NA,-110393,NA,-24911,-16970,NA,NA,NA,NA,511417.34,NA,511417.34,2020-05-11
NA,NA,7191,NA,-26480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492128.84,NA,492128.84,2020-05-12
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492128.84,NA,492128.84,2020-05-13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492128.84,NA,492128.84,2020-05-14
NA,NA,17319,NA,-13884,NA,NA,-250,NA,NA,NA,-850,NA,NA,NA,494463.35,NA,494463.35,2020-05-15
95000,25000,9617,NA,-13240,NA,NA,NA,NA,NA,-130500,-4500,NA,NA,NA,475840.15,NA,475840.15,2020-05-16
NA,NA,28327,NA,-101515,NA,NA,NA,NA,NA,NA,NA,NA,-5881,NA,396771.19,NA,396771.19,2020-05-17
NA,NA,8856,NA,-61389,NA,-675,NA,NA,NA,NA,-500,NA,NA,NA,343063.2,NA,343063.2,2020-05-18
NA,NA,5097,NA,-44264,NA,NA,NA,NA,NA,NA,-342,NA,NA,NA,303554.1,NA,303554.1,2020-05-19
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303554.1,NA,303554.1,2020-05-20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303554.1,NA,303554.1,2020-05-21
15000,14000,16408,NA,-681,NA,NA,NA,NA,NA,-3702,NA,NA,NA,NA,344579.3,NA,344579.3,2020-05-22
124000,5300,16635,NA,-24527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465987.27,NA,465987.27,2020-05-23
NA,NA,3833,NA,-64804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405016.25,NA,405016.25,2020-05-24
NA,NA,2599,NA,-26239,NA,NA,NA,NA,NA,-15662,-1465,NA,NA,NA,364248.79,NA,364248.79,2020-05-25
NA,NA,100,NA,-15134,NA,NA,NA,NA,NA,-28032,-3000,NA,NA,NA,318182.72,NA,318182.72,2020-05-26
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318182.72,NA,318182.72,2020-05-27
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318182.72,NA,318182.72,2020-05-28
NA,NA,30656,NA,-17878,NA,NA,NA,NA,NA,-222,NA,NA,NA,NA,330738.45,NA,330738.45,2020-05-29
24000,25000,3506,NA,-23981,NA,NA,-117637,NA,NA,NA,NA,NA,NA,NA,241625.97,NA,241625.97,2020-05-30
NA,NA,73619,NA,-64154,NA,-1647,NA,NA,NA,NA,-1161,NA,NA,NA,248283.41,NA,248283.41,2020-05-31
NA,NA,971,NA,-35227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214027.08,NA,214027.08,2020-06-01
NA,NA,15139,NA,-12932,NA,NA,NA,NA,-23751,NA,-1063,NA,NA,NA,191420.19,NA,191420.19,2020-06-02
NA,NA,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191519.19,NA,191519.19,2020-06-03
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191519.19,NA,191519.19,2020-06-04
NA,NA,331,NA,-5000,NA,NA,NA,NA,NA,NA,-701,NA,-603,NA,185545.99,NA,185545.99,2020-06-05
60000,20000,34892,NA,-19321,NA,NA,NA,-938,NA,NA,-1430,-6998,NA,NA,271750.68,NA,271750.68,2020-06-06
NA,NA,4502,NA,-13305,NA,NA,-166593,-636,NA,NA,-649,NA,NA,NA,95069.14,1060923,1155992.14,2020-06-07
NA,NA,25354,NA,-97963,NA,-1646,NA,NA,NA,NA,-4516,NA,NA,NA,1077221.42,NA,1077221.42,2020-06-08
NA,NA,2269,NA,-64759,NA,NA,NA,NA,NA,NA,-4000,NA,-3851,NA,1006880.23,NA,1006880.23,2020-06-09
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006880.23,NA,1006880.23,2020-06-10
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006880.23,NA,1006880.23,2020-06-11
NA,NA,7602,NA,-9794,NA,-4923,NA,NA,NA,NA,-112,NA,NA,NA,999653.11,NA,999653.11,2020-06-12
72000,30000,396,7424,-8574,NA,NA,-175487,NA,NA,-16970,NA,NA,NA,NA,908442.27,NA,908442.27,2020-06-13
NA,NA,13170,12350,-63631,NA,NA,NA,NA,NA,-6960,-1225,NA,NA,NA,862147,NA,862147,2020-06-14
NA,NA,43655,20814,-91533,NA,-2399,NA,NA,NA,NA,-11907,NA,NA,NA,820777.7,NA,820777.7,2020-06-15
NA,NA,11517,569,-67372,NA,NA,NA,NA,NA,-37410,-1444,NA,NA,NA,726638.05,NA,726638.05,2020-06-16
NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726738.05,NA,726738.05,2020-06-17
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726738.05,NA,726738.05,2020-06-18
NA,NA,-4568,NA,-43939,NA,NA,NA,NA,NA,NA,-1635,NA,NA,NA,676596,NA,676596,2020-06-19
60000,10000,16754,NA,-7569,NA,NA,NA,NA,NA,-1169,NA,NA,NA,NA,754612.16,NA,754612.16,2020-06-20
NA,NA,1046,NA,-7748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,747910.19,NA,747910.19,2020-06-21
NA,NA,6460,NA,-108736,NA,NA,NA,NA,NA,NA,-60,NA,NA,NA,645574.31,NA,645574.31,2020-06-22
NA,NA,NA,13759,-32115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627218.07,NA,627218.07,2020-06-23
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627218.07,NA,627218.07,2020-06-24
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,627218.07,NA,627218.07,2020-06-25
NA,NA,19484,NA,-36658,NA,NA,NA,NA,NA,NA,-2378,NA,NA,NA,607666.93,NA,607666.93,2020-06-26
80000,77000,3958,NA,-26492,NA,NA,NA,NA,NA,-648,NA,NA,NA,NA,741485.83,NA,741485.83,2020-06-27
NA,NA,2646,NA,-36594,NA,NA,NA,NA,NA,-37410,-1392,NA,NA,NA,668735.81,NA,668735.81,2020-06-28
NA,NA,99,42210,NA,NA,NA,-179589,NA,NA,NA,-92,NA,NA,NA,531363.67,NA,531363.67,2020-06-29
NA,NA,397,NA,-49751,NA,NA,-405840,NA,NA,NA,-60,NA,NA,NA,76109.7,NA,76109.7,2020-06-30
